ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name,1075849056::Physical Data Type,1075848978::Type,1075849452::Domain Parent,1075850017::Starting Value
"1075838983::32","<root>",Domain,"_root_","","<Root>","",""
"1075838983::33","<default>",Domain,"_default_","char(18)","<Default>","_root_",""
"1075838983::34","String",Domain,"String","varchar(20)","String","_default_",""
"1075838983::35","Number",Domain,"Number","integer","Number","_default_",""
"1075838983::36","Datetime",Domain,"Datetime","datetime","DateTime","_default_",""
"1075838983::37","Blob",Domain,"Blob","varbinary","Blob","_default_",""
"1075838983::371","sdBinary",Domain,"sdBinaryFilesBlob","varbinary(max)","<Regular Domain>","Blob",""
"1075838983::372","sdNameString",Domain,"sdPersonNameString","nvarchar(150)","<Regular Domain>","String",""
"1075838983::373","sdSystemNameString",Domain,"sdSystemNameString","sysname","<Regular Domain>","String",""
"1075838983::374","FLoat",Domain,"Numeric","numeric(18,2)","<Regular Domain>","_default_",""
"1075838983::375","sdVehicleName",Domain,"sdVehicleNameString","nvarchar(100)","<Regular Domain>","String",""
"1075838983::376","sdPriceFloat",Domain,"sdPriceNumeric","numeric(18,2)","<Regular Domain>","Numeric",""
"1075838983::377","sdPrimaryIdNumber",Domain,"sdPrimary_Id_Number","int","<Regular Domain>","Number",""
"1075838983::378","sdCharacterizedIdString",Domain,"sdCharacterBased_Id_Char","char(10)","<Regular Domain>","Char",""
"1075838983::379","sdDiscountFloat",Domain,"sdDiscountNumeric","numeric(18,2)","<Regular Domain>","Numeric",""
"1075838983::380","sdDerivedCharacterBasedSalePriceString",Domain,"sdDiscountSalePriceChar","char(18)","<Regular Domain>","Char",""
"1075838983::381","Char",Domain,"Char","char(18)","<Regular Domain>","_default_",""
"1075838983::382","sdDateOnlyDatetime",Domain,"sdDateOnlyDatetime","date","<Regular Domain>","Datetime",""
"1075838983::383","sdSystemDatesDatetime",Domain,"sdSystemDatesDatetime","Datetime2(7)","<Regular Domain>","Datetime",""
"1075838983::384","sdItemNumberNumber",Domain,"sdItemNumberNumber","tinyint","<Regular Domain>","Number",""
"1075838983::385","sdCountryCode",Domain,"sdCountry3LetterCodeChar","char(3)","<Regular Domain>","Char",""
"1075838983::386","sdChargeFloat",Domain,"sdChargeNumeric","numeric(18,2)","<Regular Domain>","Numeric",""
"1075838983::387","Bool",Domain,"Bool","bit","<Regular Domain>","_default_",""
"1075838983::388","sdBinaryOptionBool",Domain,"sdBinaryOptionChoiceBool","bit","<Regular Domain>","Bool",""
"1075838983::389","sdComments",Domain,"sdCommentsString","nvarchar(4000)","<Regular Domain>","String",""
"1075838983::390","sdCountry2LetterCodeChar",Domain,"sdCountry2LetterCodeChar","char(2)","<Regular Domain>","Char",""
"1075838983::391","sdThreshholdNumber",Domain,"sdThresholdNumber","int","<Regular Domain>","Number",""
"1075838983::392","sdDescriptionString",Domain,"sdDescriptionString","varchar(150)","<Regular Domain>","String",""
"1075838983::393","sdHashKeyBlob",Domain,"sdHashKeyBlob","varbinary(32)","<Regular Domain>","Blob",""
"1075838983::394","sdAddressLineString",Domain,"sdAddressLineString","nvarchar(50)","<Regular Domain>","String",""
"1075838983::395","sdTowString",Domain,"sdAddressTownString","varchar(21)","<Regular Domain>","String",""
"1075838983::396","sdAddressPostalCodeString",Domain,"sdAddressPostalCodeString","nvarchar(5)","<Regular Domain>","String",""
"1075838983::397","sdBasicIntegerNumber",Domain,"sdBasicIntegerNumber","integer","<Regular Domain>","Number",""
